,Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-10,n-12,db_pos
5,65652,TAG,[TG(50:3)]_FA18:1,439.0,846.8,547.5,15.33,11282023_DOD94_F3_WT_cereb_O3on_01,846.8 -> 547.5,65652,764.8,736.8,722.8,694.8,
761,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
762,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
763,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
764,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
765,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
766,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
767,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
768,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
769,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
770,12181,,[TG(50:3)]_FA18:1,530.0,736.7,547.5,15.98,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12181,654.7,626.7,612.7,584.7,n-9
