lipid,logFC,logCPM,LR,PValue,FDR,type,DOD93_F4_Female_5xFAD_cortex,DOD94_F3_Female_WT_cortex,DOD94_F4_Female_5xFAD_cortex,FAD184_F3_Female_WT_cortex,FAD184_F4_Female_WT_cortex,FAD185_M1_Male_5xFAD_cortex,FAD185_M3_Male_5xFAD_cortex,FAD185_M4_Male_WT_cortex,FAD189_M1_Male_5xFAD_cortex,FAD189_M2_Male_5xFAD_cortex,FAD189_M3_Male_WT_cortex,DOD93_F4_Female_5xFAD_diencephalon,DOD94_F3_Female_WT_diencephalon,DOD94_F4_Female_5xFAD_diencephalon,FAD184_F3_Female_WT_diencephalon,FAD184_F4_Female_WT_diencephalon,FAD185_M1_Male_5xFAD_diencephalon,FAD185_M3_Male_5xFAD_diencephalon,FAD185_M4_Male_WT_diencephalon,FAD189_M1_Male_5xFAD_diencephalon,FAD189_M2_Male_5xFAD_diencephalon,FAD189_M3_Male_WT_diencephalon,Blank_Blank_Blank_Blank_Blank
[TG(50:3)]_FA16:0,2.3637721116120014,9.09247600603053,62.769668802511575,2.3234961376944115e-15,6.816292760308969e-13,TAG,397648.0903320313,425299.5697631836,246433.79818725583,866034.2627563477,417493.3735961914,1161025.8165283203,11366578.553344728,16187863.686950684,11702466.59588623,1316573.490234375,3525087.6692504883,107540.52813720705,675589.08935546875,119428.49005126952,122173.86767578124,140053.15032958984,566047.23876953125,2405325.140625,427690.9301757813,2396674.5908203125,1208599.4104003906,335471.10583496094,39421.5026550293
[TG(50:4)]_FA16:1,2.323456776872798,9.205490541144494,60.83197236990321,6.216013488011593e-15,1.6715896271511177e-12,TAG,433585.8676147461,408014.6335449219,284788.94189453125,910160.0294189452,449506.9132080078,1294889.2313232422,11772072.088134766,17625293.951049805,12465006.221191406,1478699.6036987305,4066789.887145996,114291.74731445312,691492.7669067383,132823.08825683594,135227.28875732422,166766.8524169922,593009.0079345703,2728850.602783203,495750.17724609375,2719919.2182617188,1286779.8764648438,362692.0234375,43220.64306640625
[TG(53:10)|TG(52:3)]_FA16:0,2.2478845310573665,11.778538550096549,57.26053779806253,3.817382792972228e-14,9.475918671477984e-12,TAG,2886191.7814941406,2288857.823364258,1870264.4528808596,4451806.241699219,2019213.3184814453,7625082.950683594,85404964.1628418,105441679.397583,74882363.97680664,6742592.529663086,11921264.345214844,899843.3544921875,3404817.0947265625,1172492.346923828,1105026.6142578125,1032630.996826172,3034731.821533203,19809276.43530273,4101383.697265625,15997437.85546875,5850277.17578125,1647656.7143554688,93157.28674316406
[TG(54:8)|TG(53:1)]_FA18:3,2.1998307464427183,9.578175435204116,55.03157306825176,1.186091166535956e-13,2.5516774629410195e-11,TAG,355736.54333496094,225582.35638427731,178792.8939819336,448981.9650878906,251690.3994140625,2071131.880126953,20293383.642822266,16362396.384399414,25407102.694213867,1693614.2082519531,1687968.401977539,118931.7484741211,476435.97033691406,139588.3709716797,121359.50708007812,145618.5291748047,822328.67578125,4723627.466064453,475762.03674316406,4909179.104492188,1403886.3381347656,265212.82263183594,50717.52389526367
DG(36:8)|DG(35:1)_C16:1,2.202673953295449,10.595078551307827,55.16232164953544,1.1097579793480467e-13,2.5516774629410195e-11,DAG,14146978.29548645,8866230.443603516,140383.89002609253,2948.5002098083496,2920.1802101135254,2926.9802284240723,2981.4202041625977,3109.32020187378,2932.80020904541,14782.580894470217,3070.420207977295,1905404.0719184875,777048.2832336426,1481716.6491775513,2921.0202102661133,2925.180202484131,2927.500198364258,9304.880458831787,172521.23169326782,3550.7402381896973,3436.740257263184,2926.340209960937,47492099.30102539
[TG(58:13)|TG(57:6)]_FA22:5,2.1906776343495165,8.009750103187573,54.610601957592735,1.469407803827104e-13,2.96361186434379e-11,TAG,288470.1831665039,585397.839050293,353139.2077026367,1784769.2811889648,318252.34259033203,2868490.0872192383,2614160.3379821777,4409908.527130127,1996384.7830810547,695498.2810668945,4321198.254821777,264732.11810302734,257309.53979492188,222765.0958251953,166265.4111328125,160855.09161376953,568612.1387939453,602135.4598388672,188899.7333984375,481992.21380615234,983809.5820922852,239597.0373535156,51019.72317504883
[TG(54:6)]_FA18:1,2.187286037598254,9.410521475616374,54.45522294922284,1.5903046337875653e-13,3.018772384254396e-11,TAG,320911.78436279297,201820.4542236328,183396.5927734375,383310.0072631836,219905.87817382807,1846305.706298828,18784181.24426269,14208434.805847168,22194126.955078125,1558195.5480957031,1463954.4326171875,110073.66821289062,398768.3504638672,133241.3302001953,106943.4486694336,118951.80871582033,642182.598815918,4209532.209472656,439001.3912353516,4606366.096191406,1215909.2255859375,225309.3558349609,43440.762939453125
[TG(52:4)]_FA16:1,2.1822984634180664,11.965146393357298,54.226843568036685,1.7862984726030974e-13,3.202436206161219e-11,TAG,3382532.8125,2494774.105102539,2254314.328735352,5024017.710571289,2404549.753173828,8727170.905517578,93938783.76123048,120559493.3704834,83516927.09204102,7654611.276123047,14312039.753417969,982057.860107422,3802248.639160156,1368631.6105957031,1325759.58984375,1246935.4814453125,3457763.5080566406,23197295.450195312,4843381.68359375,18702809.013671875,8027932.986328125,1831572.6877441409,96193.467529296875
[TG(54:5)]_FA18:0,2.1549293166391594,9.114260465003772,52.97932424532263,3.3707791317692977e-13,5.438752129109762e-11,TAG,224485.0567626953,150743.7322998047,132557.0889892578,278803.5610961914,159153.65118408203,1492318.643798828,15085160.431762695,11357279.245239258,18684640.31890869,1312877.5151367188,1047550.8904418944,84385.10552978516,331125.22161865234,102937.7667236328,100708.1669921875,98809.48712158205,539686.3529052734,3904012.3850097656,319230.0787353516,3457017.958129883,989692.5030517578,189485.2533569336,45290.223083496094
PI(34:2)|PI(O-35:2)|PI(P-35:1),2.155803874290304,10.05509693190917,53.01903545203851,3.303315407911632e-13,5.438752129109762e-11,PI,1159049.1701660156,1298037.8203125,864219.2790527344,1890678.473876953,1271174.4982910156,2836950.162353516,22872625.7578125,31994666.16015625,16018313.790039062,1946058.010986328,6385875.182128906,437677.3083496094,2074848.4599609373,497995.49853515625,355305.0832519531,560849.71728515625,2299321.9099121094,3976967.9487304688,1014509.495361328,3262780.4396972656,2402344.8791503906,984869.9631347656,151088.35009765625
[TG(56:9)|TG(55:2)]_FA20:4,2.1239025997009917,9.519140230369185,51.578768972753466,6.878137775879072e-13,1.0569405048934173e-10,TAG,290704.1846923828,170876.7108154297,167696.5101928711,330199.12341308594,202812.35455322263,1967763.5524902344,19739522.83642578,15195345.26107788,24614767.76434326,1730545.5935058594,1451106.3138427734,93511.70654296876,437308.7126464844,119901.66845703124,105789.96746826172,118323.04913330078,710774.0825805664,4966659.476318359,432843.5347900391,4864657.1708984375,1651173.499267578,219826.7360229492,48443.04309082031
[TG(53:9)|TG(52:2)]_FA18:0,2.120690531391388,12.330252566076087,51.43470137392839,7.401854668764109e-13,1.085717500731899e-10,TAG,3212028.209472656,2287122.217773437,1549781.005859375,5747543.0322265625,2362462.3642578125,12296018.586914062,118441144.1821289,151950743.1298828,112821713.51171876,12085736.081542969,20287070.72680664,822806.02734375,4338139.93359375,873015.75732421875,937861.28564453125,899098.5029296875,4949001.652832031,37320333.271484375,4516843.114746094,27700802.23291016,9900169.21875,2322502.220703125,202028.53369140625
[TG(54:7)|TG(53:0)]_FA18:2,2.1182686460003914,9.49847933892508,51.32599468132321,7.823281918656383e-13,1.0976404674567021e-10,TAG,331872.8641357422,213621.61303710935,180958.1929931641,411631.9666748047,234790.07830810547,1838487.0573730469,18663446.154296875,15338294.781555176,24075347.283569336,1697941.3365478516,1625489.6192626953,101778.96716308594,456963.0363769531,125172.08911132812,119102.2074584961,132099.548828125,707229.6955566406,4896680.862548828,455835.07421875,4814550.408203125,1443515.5284423828,254775.67834472656,46564.96325683594
[TG(58:14)|TG(57:7)|TG(56:0)]_FA22:6,2.102617569107917,8.053788171384932,50.62612575267121,1.1174755199052755e-12,1.502538959472635e-10,TAG,317053.0040283203,610036.925994873,347005.6685180664,1724266.3339233398,335521.6834716797,3101187.4287719727,2746162.305908203,4258806.063018799,2009165.6282348635,724911.0132446289,4524875.015258789,251412.3402709961,286092.11895751953,248464.2561950684,170622.09255981445,174511.8921508789,586775.3021850586,626709.3184204102,219803.3555908203,567093.338684082,1123987.6300048828,250294.0555419922,51446.98388671875
[TG(54:8)|TG(53:1)]_FA20:4,2.0959521847127744,7.4566445461604935,50.32917651667958,1.3000227065503131e-12,1.6780693096151442e-10,TAG,134601.81024169922,94231.98596191406,93212.947265625,159105.44888305664,110268.58670043944,478613.1102294922,3648259.3993225098,4710826.915802002,4366959.152954102,533017.883972168,758726.041595459,58619.96395874024,123805.06784057616,74324.72521972656,70990.4460144043,76670.4049987793,200923.87396240237,872797.7036743164,170186.35083007812,949319.4505615234,471824.1096191406,113709.44738769533,30783.98208618164
[TG(52:5)]_FA16:1,2.074080372194777,11.150505863772295,49.360304233917134,2.1301263569703007e-12,2.643814520747369e-10,TAG,2049512.349243164,982088.5549316406,952193.951171875,1964969.8090820312,1408945.859741211,6939905.562011719,52519768.52233887,58590646.02648926,58937981.88745117,5971475.83215332,6574587.524047852,435152.3568725586,1761280.443359375,734443.79443359375,874450.8079833984,705024.6236572266,2812605.356201172,13118733.21484375,2101236.0590820312,13869488.4453125,4966075.661621094,1070923.3186035156,94951.92645263672
PI(36:4),2.063618078598865,10.401031786100324,48.8991101176688,2.694729790437002e-12,3.2207011236074837e-10,PI,1634891.3911132812,795632.78759765625,715741.26220703125,1260387.369506836,1216588.140258789,5515099.262390137,31455354.81634521,31918825.393432617,33650634.853149414,4840347.267211914,3852264.7201538086,329348.32421875,1413034.1662597656,598813.47607421875,672885.8681640625,529922.2803344727,2338611.46875,5935572.970825195,1375696.0106201172,7813660.733154297,3135415.521972656,806929.80029296875,51105.0234375
[TG(52:4)]_FA16:0,2.0607772138294305,11.022809560591218,48.77433773877672,2.8717279704532507e-12,3.3096664859473715e-10,TAG,2005314.5098876955,1009654.7579345704,873643.4839477539,1929035.4139404297,1331776.1258544922,6648161.799194336,49522538.92163086,51631682.99951172,54317168.25537109,5562128.345581055,5404697.547241211,443358.6895751953,1812122.2934570312,725780.5703125,850963.6040649414,695746.9313964844,2829650.803955078,11294375.028320312,1943153.1022949216,12653907.200195312,4698419.847167969,1037057.5737304688,62756.04425048828
[TG(56:12)|TG(55:5)]_FA20:4,2.0545363054386216,8.098619648099787,48.500107720770764,3.3027073791414036e-12,3.6751161077549345e-10,TAG,285495.4991455078,461713.4095458984,284830.2196044922,1092348.844482422,279595.2629394531,2020193.540527344,4087223.669189453,5995713.366943359,3351130.218383789,881484.3349609375,3212746.7626953125,140124.4510498047,294788.4800415039,194025.71484375,134163.44842529297,201896.79290771484,584648.6016845703,1069736.5390625,242174.09729003903,773976.9157714844,966577.7932128906,298546.4028930664,71398.02557373047
[TG(52:5)]_FA18:3,2.0226817505334793,12.816724243815113,47.11154883542315,6.7059388723083924e-12,7.213354913646393e-10,TAG,5654131.227539063,4692980.265136719,2892020.576171875,10081903.015625,4784159.2021484375,19092847.541992188,160165340.703125,206637480.09179688,141085188.4892578,15933292.969726562,34816288.13671875,1697721.6064453125,8370824.034667969,1625171.802734375,1487708.9814453125,1989810.005859375,9473487.7109375,47717170.80078125,7327592.705078125,36923930.3984375,17100241.12109375,4207742.01953125,522388.6748046875
[TG(51:9)|TG(50:2)]_FA16:0,2.01597412497334,10.425010224225995,46.8210554159145,7.777331652673296e-12,7.842952888492727e-10,TAG,1560311.95703125,1532647.8635253906,995806.4045410156,2642533.4892578125,1523714.6396484375,3415669.584228516,28910024.95214844,40404234.60791016,21740514.52148437,2383552.50390625,7519742.250488281,582388.7236328125,2546333.8361816406,611481.2451171875,457960.3754882813,759817.8876953125,2888500.66015625,6767177.516845703,1323331.0087890625,4874593.509765625,3145204.985839844,1305181.5551757812,164916.07250976562
[TG(52:4)]_FA18:2,2.016541404567891,12.76202260697782,46.84567011177543,7.68025959811265e-12,7.842952888492727e-10,TAG,5405333.463378906,4184281.209472656,2922700.978515625,9391646.5234375,4405087.896972656,16607130.829101562,154451018.515625,195132594.890625,142734082.1533203,15805425.666015623,33639957.2109375,1522434.3798828125,7982811.5703125,1416544.6342773438,1411529.3525390625,1804337.041015625,8464221.0908203125,47752305.224609375,7133311.4375,36815894.7109375,15305682.774414062,3897765.247070313,400788.845703125
[TG(54:6)]_FA20:4,2.003954190819628,12.806420145049728,46.30250398834525,1.0133437361018716e-11,9.630253829495309e-10,TAG,4665381.206542969,3222887.977783203,2163280.920898437,7656598.989257812,3517359.0493164062,18164994.14013672,161222489.4267578,203276048.17041016,154812984.7680664,17393409.56982422,30833272.34863281,1073539.5356445312,6031050.530761719,1167793.650390625,1165413.03125,1144703.8466796875,7209395.051269531,51856425.2265625,7577147.212890625,42965502.7109375,17849353.150390625,2987670.273925781,240371.81713867188
PI(36:2)|PI(O-37:2)|PI(P-37:1),2.0038974130240286,10.466121950843181,46.29997346864211,1.014653331896004e-11,9.630253829495309e-10,PI,1630530.6215820312,1099757.3614501953,938095.71337890625,1771603.1107177734,1261112.248046875,3838342.4768066406,33479875.66210937,42903476.44921875,21586647.231445312,3091645.805419922,5623895.110717773,812629.3740234375,1905410.1953125,818909.28564453125,463933.7139892578,664350.50634765625,4449862.232177734,6485919.467285156,1417174.2551269531,4960713.940673828,3569778.8486328125,963160.9296875,120752.98876953124
[TG(52:7)|TG(51:0)]_FA18:3,1.9890565608132407,7.511616016010997,45.66253171394783,1.4048442182719139e-11,1.2952663692467046e-9,TAG,187797.45239257807,161764.51049804688,141822.14837646484,254022.1590576172,162398.05291748047,475145.9582519531,3505330.700561523,4780346.387390137,4214673.649719238,488888.6934814453,851894.9584655762,83478.42584228516,213905.77520751956,116319.26916503906,123858.80822753906,126700.02880859376,232353.7192993164,806990.1816101074,230037.4766235352,854773.0811767578,421420.6534423828,152775.08966064453,35813.00262451172
[TG(53:10)|TG(52:3)]_FA18:1,1.9797770233853342,12.555048592812389,45.26625740439715,1.7198691097381863e-11,1.5416715603125353e-9,TAG,4551343.0478515625,3610917.8413085938,2385569.8774414062,7800747.215820312,3785124.1166992183,15628177.849121094,142125803.67773438,166799130.02685547,117030653.37792967,13668517.287109377,27401674.419433597,1269170.921875,6315117.249511719,1327898.1376953125,1209792.3237304688,1297879.94921875,7012539.479003906,41884178.62304688,7592889.494140625,33074835.2109375,13862517.69140625,3281136.3857421875,236402.71728515625
[TG(52:5)]_FA18:1,1.9745459803919883,7.322645843833873,45.04289165443333,1.9276571300444744e-11,1.6812296104468969e-9,TAG,177716.09274291992,151586.8310546875,144491.2693786621,232196.61474609372,129758.6282043457,424856.369140625,3256259.1873779297,4048569.708068848,3634220.405456543,421206.2837524414,714833.1268920898,80537.50546264648,187680.21505737305,119675.72857666016,98503.626708984375,106381.00802612305,178299.83319091797,726461.9274291992,226526.45635986328,823938.3405151367,291416.96087646484,121339.02905273438,30298.922149658203
[TG(50:3)]_FA16:1,1.9727963546526754,10.53011323480972,44.96874647759002,2.0020438160935313e-11,1.7001566827720594e-9,TAG,1670140.2026367188,1586590.5971679688,1171210.4111328125,2720944.9477539062,1711260.8901367188,3698646.696777344,29474046.77978516,44280579.38183594,22292439.04638672,2680050.154296875,8751453.275878906,601702.9816894531,2666483.154785156,681153.8154296875,531588.30224609375,865272.52880859375,3203361.7846679688,7671169.908203125,1559667.7490234375,5325252.14453125,3323341.5009765625,1420730.813232422,157774.49194335938
[TG(52:6)]_FA18:2,1.9592058297951835,7.455173647439628,44.391590690667726,2.688394262152654e-11,2.2244739189657984e-9,TAG,197590.21459960935,151999.59088134766,157834.97143554688,250928.71685791016,148473.49087524414,414690.6322021485,3317492.0825805664,4541961.361572266,4079847.6005249023,480690.6566772461,827320.4942626953,79753.58679199219,211172.21603393555,119212.18975830078,115961.5484008789,128740.50900268556,205191.0139160156,817505.6549072266,223081.25512695312,851649.6907958984,392284.00256347656,141436.60974121094,33825.68228149414
[TG(52:4)]_FA18:0,1.9489108822944117,7.088586786110769,43.95649796902491,3.357558276925155e-11,2.7087101399093688e-9,TAG,161359.07189941406,139123.3096923828,150426.21145629883,196235.79266357425,116150.48858642578,341712.42279052734,2567641.791381836,3472359.175048828,3197887.7181396484,391496.2524414063,544420.3543395996,73809.90563964844,167217.87170410156,114798.52932739258,111339.34762573242,102733.7262878418,152253.79360961914,629298.1664428711,177347.69256591797,621887.9865722656,256511.9203491211,113622.58935546876,27233.32211303711
[TG(52:6)]_FA20:4,1.9350206712680553,9.368646185472961,43.3726799346709,4.524614206311957e-11,3.395565126457834e-9,TAG,640927.3859863281,538919.9752197266,485191.7922363281,866683.6120605469,524776.6364746094,1722778.6000976562,13871270.575927734,14053567.595458984,16933687.743408203,1951754.1257324216,3857273.451904297,226965.11669921875,830453.8978271484,318363.32080078125,259449.4782714844,381318.6610107422,838526.70703125,3653918.223876953,593871.28759765625,3680869.1323242183,1587454.321044922,581146.443359375,111193.94787597656
[TG(55:7)|TG(54:0)]_FA20:4,1.9362578128139636,7.4465776162144826,43.42434915755439,4.4067045098451447e-11,3.395565126457834e-9,TAG,121251.6693725586,93980.28689575195,97706.6278076172,129980.48901367188,107822.50799560548,463901.1948852539,4444767.128631592,4397854.500244141,3785899.141967773,567229.781829834,505261.58984375,64009.9045715332,119990.88931274414,87954.84674072266,72940.26583862305,89104.64671325684,239511.59512329104,1101151.716796875,178116.17456054688,866354.2646484375,489438.41192626953,136085.02969360352,38433.022720336914
[TG(58:8)|TG(57:1)]_FA22:5,1.936080299900737,9.349743611945128,43.41713485999284,4.422981024596453e-11,3.395565126457834e-9,TAG,583357.5199584961,263464.4387817383,451048.12927246094,751142.2346801758,460648.3713684082,2097906.6514282227,16270115.06225586,14717842.434936523,16822360.100219727,1753179.598449707,1409185.2496948242,467508.1688232422,293226.9401245117,339900.8842773437,259154.2781677246,226508.2974243164,1127911.9031982422,4018195.4786376953,578197.6359863281,3335192.1372680664,1866207.271728516,448379.7933959961,52418.30358886719
[TG(55:11)|TG(54:4)]_FA18:0,1.9231481803700348,12.382521479118385,42.87596326182364,5.832287708905279e-11,4.2774528265084855e-9,TAG,2469243.2166748047,1250542.542236328,981054.93505859375,3078794.9020996094,1670069.1198730469,18868293.612304688,141659586.3149414,128838246.98876952,131427532.48510742,16839148.314697266,12062244.289794922,477475.259765625,2697522.538330078,773485.95751953125,877217.20166015625,695008.1892089844,5812282.8251953125,47097884.64453125,3877553.6137695312,36150200.33129883,11861102.490234377,1803795.8386230469,142586.51037597656
[TG(51:9)|TG(50:2)]_FA18:0,1.9124938384154333,8.903179280441917,42.43195234743142,7.318461329936707e-11,5.1340597199360345e-9,TAG,462683.3146972656,409516.1719970703,358106.6268310547,659427.7844238281,392322.4262695313,1223100.6723632812,9891238.52392578,10370100.853271484,12211586.955810549,1374182.520263672,2605939.213989258,181823.2320556641,643729.9261474609,233248.03588867188,207292.41357421875,334272.18603515625,621221.8994140625,2692359.596435547,411628.3873291016,2454428.887939453,1119912.3889160156,515267.4555664063,85660.94641113281
[TG(54:7)|TG(53:0)]_FA18:3,1.9132769555377667,12.821899483282193,42.464643315057515,7.197155404657206e-11,5.1340597199360345e-9,TAG,3651136.2509765625,1944963.9223632808,1333831.4477539062,4909741.412109375,2528559.6713867188,25890571.84765625,183182782.95263672,179313762.45947266,172857275.6508789,21853852.785888672,20870356.518066406,699827.73193359375,3847611.8559570312,940882.544921875,1055229.2587890625,965784.68896484375,8145893.904785156,60382074.528808594,5938413.4033203125,50936133.54296875,17367123.23046875,2528923.203613281,209595.373046875
[TG(58:9)|TG(57:2)]_FA22:6,1.899212068788758,9.47925448385558,41.881272500206805,9.698711692956653e-11,6.659094177270451e-9,TAG,666169.2702636719,291211.6604003906,513757.4003295898,836424.27880859375,522255.4940795898,2385301.756347656,18189864.07666016,15454737.135742188,18077291.34069824,1922102.0542297363,1618862.169128418,549119.9901123047,350254.0643310547,380598.10247802734,269657.8424682617,236036.97723388672,1212081.3287963867,4386463.037963867,680581.3310546875,3830376.834472656,2090926.7958984373,461050.3158569336,65577.12463378906
[TG(62:13)|TG(61:6)]_FA22:5,1.8970349717835486,7.474779010012024,41.79100244999586,1.015697472365828e-10,6.828449465259432e-9,TAG,302103.15838623047,460370.1953735352,430287.6340332031,2093858.7861328125,273313.73986816406,1737206.712890625,1414935.2547607422,2366014.321166992,1118189.143798828,462481.6513671875,2079199.7133789065,301623.2587890625,215923.71411132807,216633.47607421875,185640.7528076172,157584.67126464844,340019.52502441406,346050.6451416016,186657.3525390625,413953.6517944336,607768.8791503906,212069.73510742188,72452.70501708984
[TG(56:13)|TG(55:6)]_FA20:4,1.8955971179727893,7.9725019817344025,41.7317473476578,1.0469509075018779e-10,6.894919547976653e-9,TAG,188493.4326171875,141055.24963378906,153294.55029296875,208758.57440185547,153216.11224365234,617288.1117553711,6269390.280700684,6730242.567199707,4985987.7861328125,697557.1339111328,756805.0591430664,92063.22662353516,192214.7529296875,127496.54852294922,98837.34783935548,140346.75018310547,381469.7671508789,1601635.685546875,273172.6589355469,1209807.3098144531,737346.6905517578,208957.1735839844,55197.00402832031
[TG(56:8)|TG(55:1)]_FA20:4,1.8925093761730465,12.771124839976475,41.60454784959131,1.1173305266389692e-10,7.211251218927908e-9,TAG,2711665.527709961,1551559.9411621094,1094421.1394042969,3473659.422363281,1789553.8524169922,23156964.665527344,185407383.097168,169109293.24536133,172729180.92285156,20609630.095947266,17201778.182373047,523222.7221679688,2807184.543701172,828797.181640625,651307.5087890625,674853.5511474609,6815579.649902344,61964373.32421875,5220897.544921875,49350677.8203125,19740478.2578125,1896033.593017578,159430.49194335938
