,Unnamed: 0,Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,Unnamed: 0.1,n-7,n-9,n-10,n-12,db_pos
541,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
542,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
543,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
544,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
545,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
546,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
547,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
548,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
549,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
550,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
551,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
552,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
553,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
554,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
555,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
556,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
557,12094,,[TG(50:3)]_FA18:1,320.0,736.7,547.5,12.12,11282023_DOD94_F3_WT_cereb_O3on_01,736.7 -> 547.5,12094,654.7,626.7,612.7,584.7,n-9
558,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
559,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
560,35738,,[TG(54:5)]_FA18:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-9
561,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
562,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
563,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
564,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
565,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
566,35738,,[TG(54:5)]_FA18:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-9
567,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
568,35738,,[TG(54:5)]_FA18:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-9
569,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
570,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
571,35738,,[TG(52:5)]_FA16:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-7
572,35738,,[TG(54:5)]_FA18:1,673.0,788.7,599.5,12.02,11282023_DOD94_F3_WT_cereb_O3on_01,788.7 -> 599.5,35738,706.7,678.7,664.7,636.7,n-9
