Lipid,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
(11Z)-eicoseneoylcarnitine,1450974.412109375,1461574.3852539062,1395572.740234375,1446175.0439453125,1457662.7182617188,1408961.5532226562,1469500.5795898438,1300758.2841796875,1356376.1943359375,1553075.8388671875
"(11Z,14Z)-eicosadienoylcarnitine",1464825.83203125,1429124.1762695312,1350856.4809570312,1445031.9301757812,1431788.9677734375,1357653.3920898438,1422254.4301757812,1332756.2084960938,1313436.7885742188,1536662.2856445312
"(13Z,16Z)-docosadienoylcarnitine",1547859.026428223,1420361.1004638672,1281745.7750854492,1384342.3704833984,1508125.2795410156,1349872.0334472656,1401085.4095458984,1284612.1057128906,1277668.0494384766,1509455.984741211
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2341072.076904297,2184246.087890625,2205746.576171875,2281951.5776367188,2470854.001464844,2018780.2897949216,2132253.7890625,3004035.1204833984,2011026.92944336,2188599.0122070312
"(5Z,8Z)-tetradecadienoylcarnitine",75825428.85351562,29948597.337890625,26648913.84375,29749622.64453125,16632944.549316406,65346110.588378906,40969587.21484375,15439015.444335938,37982357.49316406,18655737.47460937
"(7Z,10Z)-hexadecadienoylcarnitine",1808904.2744140625,1770713.409423828,1717515.307861328,1820135.4990234373,1811327.671875,1667394.3842773438,1873401.7072753904,1685194.9013671875,1660596.78125,1881966.8132324216
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1355693.1580810547,1260946.1431884766,1137990.1825561523,1244091.2459716797,1271184.7647705078,1143505.6591796875,1216621.2817382812,1148186.4895019531,1091271.1774902344,1370722.953857422
(9Z)-3-hydroxyoctadecenoylcarnitine,11026079.612304688,17311510.770996094,20298427.10791016,19093728.143554688,20722991.56201172,21033323.51171875,15453683.57763672,25626555.60546875,21029996.70898437,8047711.172851562
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4689957.828857422,6556788.756103516,7579394.700439453,7210002.552490234,7847061.452392578,7985043.280273437,6411734.287353516,8561014.840332031,7636011.399658203,4199385.319580078
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10508922.293945312,16470506.173828123,19040901.25390625,17918375.471679688,19527801.96728516,19669121.095703125,14634731.657226562,24808766.91748047,19723779.49658203,7436995.044921875
1-O-behenoyl-Cer(d18:1/16:0),33323.14264297485,36692.462463378906,37616.98265457153,36546.822441101074,47163.46329879761,38684.44284820557,39283.802684783936,41078.122703552246,41187.70300292969,27728.001831054688
1-O-carboceroyl-Cer(d18:1/16:0),119585.8681526184,94097.04789352416,71634.02543640137,86770.38639831543,152652.411567688,90605.04538345335,115558.20627593994,63072.24443435669,96314.38687133788,71027.58568572998
1-O-carboceroyl-Cer(d18:1/18:0),24480.88187408448,24564.40146255493,21907.801445007324,23461.22156906128,21279.241298675537,21167.64161300659,21810.941791534424,16931.921321868896,20784.1814994812,21460.881801605225
1-O-cerotoyl-Cer(d18:1/16:0),100954.5672607422,77182.18599319458,67614.68476867676,83571.66579055786,112079.00816345216,75406.60494613647,98255.28512954712,63247.98458099365,78392.94470977783,111197.36640167236
1-O-cerotoyl-Cer(d18:1/18:0),304801.284576416,261576.97959136963,228328.8583450317,276514.4203910828,223601.6531028748,227696.1364517212,285917.71657562256,157930.9115447998,228741.71733093265,339689.64263916016
1-O-eicosanoyl-Cer(d18:1/16:0),38517.28271102905,36027.762283325195,42948.363021850586,40629.2631149292,42736.36308288574,30331.58203125,37163.8623008728,40477.462688446045,47302.34348678589,36310.98204803467
1-O-lignoceroyl-Cer(d18:1/16:0),104923.82834243774,84782.36605834961,66330.18539047241,79647.96742630005,144407.71041107178,81413.10648345947,97751.66666412354,70156.98491287231,90403.96683502196,53195.04327392578
1-O-myristoyl-Cer(d18:1/16:0),55029.08363342285,54183.54351043701,53711.363929748535,50479.26407623291,49155.66358947754,50361.16374969482,45911.8233833313,44181.50326156616,49011.963397979736,45070.7234954834
1-O-palmitoyl-Cer(d18:1/16:0),41975.34289932251,42159.56315231323,46103.00323486328,43672.76354598999,43331.863063812256,40639.18308258057,43771.94339752197,39518.76318740845,44456.16331863403,41486.06307220459
1-O-stearoyl-Cer(d18:1/16:0),44340.32306671143,41978.90271377564,47592.20374298096,49289.16366195679,53856.84366226196,37718.002490997314,44351.12351226807,51899.82354354858,56296.36441421509,42019.50308609009
1-O-tricosanoyl-Cer(d18:1/16:0),45042.482692718506,47917.14291381836,44551.78361511231,47179.88382720947,79700.04627227783,46306.86296844482,49861.92351913452,42341.26301193237,47969.623191833496,34593.72241592407
1-O-tricosanoyl-Cer(d18:1/18:0),13229.820877075195,11874.98077774048,11112.440662384031,10774.420791625977,11614.500896453856,10037.64073562622,11459.260730743408,9018.440578460692,11086.620765686035,10810.2406539917
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",3537992.9995117188,4612804.606933594,5059683.297363281,4869216.183105469,5089087.544433594,4672021.863769531,3993657.2543945312,5983760.49609375,5044906.811035156,2897261.4868164062
12:0 Cholesteryl ester,184184.01274108887,206443.9545135498,187842.8329925537,194290.03338623047,54702.86418151856,53449.14390563965,57300.26417160034,169429.59413146973,191839.97328186035,48507.40311431885
